key,year,title,url
yan-etal-2025-survey,2025,"A Survey of Mathematical Reasoning in the Era of Multimodal Large Language Model: Benchmark, Method {\&} Challenges",https://aclanthology.org/2025.findings-acl.614/
lei-etal-2025-harnessing,2025,Harnessing Large Language Models for Disaster Management: A Survey,https://aclanthology.org/2025.findings-acl.750/
abootorabi-etal-2025-ask,2025,Ask in Any Modality: A Comprehensive Survey on Multimodal Retrieval-Augmented Generation,https://aclanthology.org/2025.findings-acl.861/
liu-etal-2025-survey,2025,A Survey on Proactive Defense Strategies Against Misinformation in Large Language Models,https://aclanthology.org/2025.findings-acl.933/
chen-etal-2025-towards-design,2025,Towards a Design Guideline for {RPA} Evaluation: A Survey of Large Language Model-Based Role-Playing Agents,https://aclanthology.org/2025.findings-acl.938/
yang-etal-2025-large-language,2025,When Large Language Models Meet Speech: A Survey on Integration Approaches,https://aclanthology.org/2025.findings-acl.1041/
atapattu-etal-2025-exploring,2025,Exploring the Role of Mental Health Conversational Agents in Training Medical Students and Professionals: A Systematic Literature Review,https://aclanthology.org/2025.findings-acl.1069/
xia-etal-2025-survey,2025,A Survey of Uncertainty Estimation Methods on Large Language Models,https://aclanthology.org/2025.findings-acl.1101/
cui-etal-2025-heuristic,2025,Heuristic-based Search Algorithm in Automatic Instruction-focused Prompt Optimization: A Survey,https://aclanthology.org/2025.findings-acl.1140/
nguyen-etal-2025-gui,2025,{GUI} Agents: A Survey,https://aclanthology.org/2025.findings-acl.1158/
sen-etal-2025-missing,2025,Missing the Margins: A Systematic Literature Review on the Demographic Representativeness of {LLM}s,https://aclanthology.org/2025.findings-acl.1246/
sim-etal-2025-vlms,2025,Can {VLM}s Actually See and Read? A Survey on Modality Collapse in Vision-Language Models,https://aclanthology.org/2025.findings-acl.1256/
